"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"unclassified_Lachnospiraceae_bacterium_3_1_57FAA_CT1","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0356531940704938,"ET_B",1,1,0.000112213770489239,"0.000156270128583323","6.47043797386716e-05",0.173022853577396
"Clostridium_bolteae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",3.58545551728812e-05,"ET_B",1,1,0.00012939699912531,"0.000252652589572519","6.7686911994803e-05",0.000738543337391076
"Clostridium_symbiosum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.479924686546591,"ET_B",1,1,0.000146276378361883,"0.000149092007728638","0.000146276378361883",0.816366734847294
"unclassified_Capnocytophaga_sp._oral_taxon_329","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.814199204072008,"ET_P",1,1,0.000153031213829474,"0.000148889134669063","0.000545940804783031",0.94194783432012
"Dorea_longicatena","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.00906681257992006,"ET_P",1,1,0.000159092610640575,"0.000112367291608997","0.000380794069961351",0.0712392416993719
"Coprococcus_catus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.966926844578101,"ET_P",1,1,0.000160157572286863,"0.00013809549376446","0.000160157572286863",0.978790977640409
"Ruminococcus_lactaris","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.397691829866735,"ET_P",1,1,0.000181335586744372,"0.000124242093021563","0.000229986638371421",0.754243125609325
"Holdemania_filiformis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.167604691470247,"ET_B",1,1,0.000204491180158763,"0.000250374239299648","0.000110865034248271",0.466927758047729
"Blautia_hansenii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0579219914345479,"ET_B",1,1,0.000219938264946707,"0.000265802481153434","0.000148386368530513",0.23892821466751
"Anaerotruncus_colihominis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.413441559455308,"ET_B",1,1,0.000228711634726835,"0.000236271969088687","0.000175937196585844",0.775202923978703
"Dorea_formicigenerans","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.901001400087008,"ET_P",1,1,0.000230168749236659,"0.000212859050793993","0.000239334263962506",0.959130522673267
"Coprococcus_comes","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.608675172052433,"ET_P",1,1,0.000265739762951741,"0.000227525870438381","0.000270361038523956",0.865787960246995
"Paraprevotella_xylaniphila","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",7.78959166780819e-05,"ET_P",1,1,0.000267061261693836,"0.000137584061467603","0.000992297065327163",0.000988678942452578
"Bacteroides_fluxus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1.8943164216798e-06,"ET_B",1,1,0.000274396227222085,"0.000330240669639756","9.46784337114024e-05",0.000156281104788583
"Bacteroides_salanitronis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0139738650939649,"ET_B",1,1,0.000288779438459327,"0.000309915805643088","0.000141891446795067",0.0960703225210087
"Clostridium_saccharolyticum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.497388298719041,"ET_P",1,1,0.000309993705127866,"0.00028883962235591","0.000317688188450162",0.828980497865068
"Eubacterium_ventriosum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.608675172052433,"ET_B",1,1,0.000334421768213077,"0.00035303514471356","0.000219184539324869",0.865787960246995
